OID_,OBJECTID,SITE,PHONE,FAX,STREET,NEIGH,ZIP,shape_wkt,POINT_X,POINT_Y
18,0.000000000000000,Leahy-Holloran*,635-5150,635-5298,1 Worrell St.,Dorchester,2122.000000000000000,POINT (-71.049285507999969 42.294350376000068),-71.049285507999969,42.294350376000068
19,0.000000000000000,Gallivan,635-5252,635-5042,61 Woodruff Way,Mattapan,2126.000000000000000,POINT (-71.08241753599998 42.275222176000057),-71.082417535999980,42.275222176000057
20,0.000000000000000,Mildred Avenue*,635-1328,635-1332,5 Mildred Ave.,Mattapan,2126.000000000000000,POINT (-71.09120317299994 42.275992724000048),-71.091203172999940,42.275992724000048
21,0.000000000000000,Hyde Park,635-5178,635-5290,1179 River St.,Hyde Park,2136.000000000000000,POINT (-71.120992230999946 42.256425231000037),-71.120992230999946,42.256425231000037
22,0.000000000000000,Curtis Hall*,635-5193,635-5273,20 South St.,Jamaica Plai,2130.000000000000000,POINT (-71.114899934999983 42.308851140000058),-71.114899934999983,42.308851140000058
23,0.000000000000000,Roslindale,635-5185,635-5271,6 Cummins Hwy.,Roslindale,2131.000000000000000,POINT (-71.127638424999986 42.286576473000025),-71.127638424999986,42.286576473000025
24,0.000000000000000,Flaherty Pool*,635-5181,635-1225,160 Florence St.,Roslindale,2131.000000000000000,POINT (-71.122208769999986 42.288320432000035),-71.122208769999986,42.288320432000035
25,0.000000000000000,Menino,635-5256,635-5258,125 Brookway Rd.,Roslindale,2131.000000000000000,POINT (-71.120149128999969 42.292388247000076),-71.120149128999969,42.292388247000076
26,0.000000000000000,Roche,635-5066,635-5067,1716 Centre St.,West Roxbury,2132.000000000000000,POINT (-71.149306155999966 42.286935990000075),-71.149306155999966,42.286935990000075
27,0.000000000000000,Draper Pool*,635-5021,635-5628,5279 Washington S,West Roxbury,2132.000000000000000,POINT (-71.159783226999934 42.260165912000048),-71.159783226999934,42.260165912000048
28,0.000000000000000,Ohrenberger,635-5183,635-5283,175 W. Boundary R,West Roxbury,2132.000000000000000,POINT (-71.149466265999934 42.260834333000048),-71.149466265999934,42.260834333000048
29,0.000000000000000,Jackson/Mann,635-5153,635-5275,500 Cambridge St.,Allston,2134.000000000000000,POINT (-71.137500770999964 42.352909206000049),-71.137500770999964,42.352909206000049
30,0.000000000000000,Mirabella Pool*,635-1275,---,475 Commercial St,Boston,2113.000000000000000,POINT (-71.054309667999973 42.368752821000044),-71.054309667999973,42.368752821000044
31,0.000000000000000,Clougherty Pool*,635-5174,---,Bunker Hill St.,Charlestown,2129.000000000000000,POINT (-71.067501163999964 42.381877422000059),-71.067501163999964,42.381877422000059
32,0.000000000000000,Grove Hall,635-1484,635-1485,51 Geneva Ave.,Roxbury,2121.000000000000000,POINT (-71.082323910999946 42.308854716000042),-71.082323910999946,42.308854716000042
33,0.000000000000000,Mason Pool*,635-5241,635-5627,159 Norfolk Ave.,Roxbury,2118.000000000000000,POINT (-71.070818557999985 42.325806577000037),-71.070818557999985,42.325806577000037
34,,Mattahunt,635-5159,,100 Hebron St,Mattapan,2126.000000000000000,POINT (-71.103569935999985 42.275811849000036),-71.103569935999985,42.275811849000036
35,,BCYF Tobin Community Center,,,1481 Tremont St,Mission Hill,2120.000000000000000,POINT (-71.098157242999946 42.332404606000068),-71.098157242999946,42.332404606000068
